Date,rate_pct
2001-01-01,5.884
2001-01-02,5.904
2001-01-03,5.66
2001-01-04,5.368
2001-01-05,5.116
2001-01-08,5.219
2001-01-09,5.286
2001-01-10,5.306
2001-01-11,5.305
2001-01-12,5.323
2001-01-15,5.323
2001-01-16,5.353
2001-01-17,5.358
2001-01-18,5.274
2001-01-19,5.241
2001-01-22,5.24
2001-01-23,5.265
2001-01-24,5.275
2001-01-25,5.264
2001-01-26,5.168
2001-01-29,5.136
2001-01-30,5.026
2001-01-31,4.994
2001-02-01,5.024
2001-02-02,5.085
2001-02-05,5.115
2001-02-06,5.078
2001-02-07,5.067
2001-02-08,5.076
2001-02-09,5.054
2001-02-12,5.053
2001-02-13,5.036
2001-02-14,5.067
2001-02-15,5.087
2001-02-16,4.98
2001-02-19,4.98
2001-02-20,5.026
2001-02-21,5.015
2001-02-22,5.014
2001-02-23,4.887
2001-02-26,4.835
2001-02-27,4.787
2001-02-28,4.859
2001-03-01,4.848
2001-03-02,4.836
2001-03-05,4.835
2001-03-06,4.725
2001-03-07,4.662
2001-03-08,4.671
2001-03-09,4.711
2001-03-12,4.638
2001-03-13,4.631
2001-03-14,4.527
2001-03-15,4.516
2001-03-16,4.525
2001-03-19,4.555
2001-03-20,4.507
2001-03-21,4.34
2001-03-22,4.252
2001-03-23,4.338
2001-03-26,4.255
2001-03-27,4.33
2001-03-28,4.34
2001-03-29,4.34
2001-03-30,4.286
2001-04-02,4.255
2001-04-03,4.123
2001-04-04,4.092
2001-04-05,4.102
2001-04-06,3.925
2001-04-09,3.945
2001-04-10,3.927
2001-04-11,4.071
2001-04-12,3.997
2001-04-13,3.997
2001-04-16,4.13
2001-04-17,4.103
2001-04-18,3.906
2001-04-19,3.905
2001-04-20,3.759
2001-04-23,3.728
2001-04-24,3.782
2001-04-25,3.844
2001-04-26,3.823
2001-04-27,3.852
2001-04-30,3.883
2001-05-01,3.896
2001-05-02,3.885
2001-05-03,3.833
2001-05-04,3.728
2001-05-07,3.718
2001-05-08,3.699
2001-05-09,3.72
2001-05-10,3.73
2001-05-11,3.739
2001-05-14,3.697
2001-05-15,3.606
2001-05-16,3.554
2001-05-17,3.575
2001-05-18,3.594
2001-05-21,3.635
2001-05-22,3.658
2001-05-23,3.647
2001-05-24,3.699
2001-05-25,3.656
2001-05-28,3.645
2001-05-29,3.707
2001-05-30,3.678
2001-05-31,3.616
2001-06-01,3.656
2001-06-04,3.697
2001-06-05,3.637
2001-06-06,3.616
2001-06-07,3.626
2001-06-08,3.636
2001-06-11,3.594
2001-06-12,3.545
2001-06-13,3.544
2001-06-14,3.554
2001-06-15,3.502
2001-06-18,3.481
2001-06-19,3.41
2001-06-20,3.493
2001-06-21,3.513
2001-06-22,3.44
2001-06-25,3.439
2001-06-26,3.452
2001-06-27,3.534
2001-06-28,3.626
2001-06-29,3.656
2001-07-02,3.646
2001-07-03,3.658
2001-07-04,3.657
2001-07-05,3.615
2001-07-06,3.636
2001-07-09,3.646
2001-07-10,3.617
2001-07-11,3.575
2001-07-12,3.595
2001-07-13,3.615
2001-07-16,3.615
2001-07-17,3.606
2001-07-18,3.513
2001-07-19,3.544
2001-07-20,3.512
2001-07-23,3.532
2001-07-24,3.521
2001-07-25,3.544
2001-07-26,3.544
2001-07-27,3.532
2001-07-30,3.563
2001-07-31,3.524
2001-08-01,3.513
2001-08-02,3.534
2001-08-03,3.522
2001-08-06,3.501
2001-08-07,3.545
2001-08-08,3.472
2001-08-09,3.441
2001-08-10,3.419
2001-08-13,3.419
2001-08-14,3.431
2001-08-15,3.431
2001-08-16,3.399
2001-08-17,3.368
2001-08-20,3.439
2001-08-21,3.369
2001-08-22,3.379
2001-08-23,3.4
2001-08-24,3.45
2001-08-27,3.46
2001-08-28,3.421
2001-08-29,3.41
2001-08-30,3.369
2001-08-31,3.367
2001-09-03,3.367
2001-09-04,3.439
2001-09-05,3.41
2001-09-06,3.369
2001-09-07,3.254
2001-09-10,3.264
2001-09-11,3.256
2001-09-12,3.214
2001-09-13,2.823
2001-09-14,2.73
2001-09-17,2.74
2001-09-18,2.525
2001-09-19,2.187
2001-09-20,2.207
2001-09-21,2.248
2001-09-24,2.37
2001-09-25,2.402
2001-09-26,2.371
2001-09-27,2.371
2001-09-28,2.371
2001-10-01,2.36
2001-10-02,2.279
2001-10-03,2.238
2001-10-04,2.207
2001-10-05,2.176
2001-10-08,2.186
2001-10-09,2.216
2001-10-10,2.217
2001-10-11,2.279
2001-10-12,2.248
2001-10-15,2.258
2001-10-16,2.207
2001-10-17,2.217
2001-10-18,2.187
2001-10-19,2.196
2001-10-22,2.227
2001-10-23,2.207
2001-10-24,2.156
2001-10-25,2.146
2001-10-26,2.145
2001-10-29,2.104
2001-10-30,2.013
2001-10-31,2.012
2001-11-01,2.064
2001-11-02,2.053
2001-11-05,2.012
2001-11-06,1.839
2001-11-07,1.787
2001-11-08,1.838
2001-11-09,1.838
2001-11-12,1.828
